phrase,category,final_score,quality_classification,decision,distinctiveness_score,describability_score,legacy_heuristics_score,cultural_validation_score,duration_ms,timestamp,error
"Adidas Sneakers","Brands & Companies",10.38,unacceptable,[object Object],0,5,5.25,0,30,2025-07-31T15:31:29.950Z,
"Adidas Tracksuit","Brands & Companies",10.38,unacceptable,[object Object],0,5,5.25,0,28,2025-07-31T15:31:29.952Z,
"Amazon Prime","Brands & Companies",26.42,poor,[object Object],0,5,6.5,15,28,2025-07-31T15:31:29.952Z,
"Apple Inc","Brands & Companies",27.46,poor,[object Object],0,5,7.75,15,28,2025-07-31T15:31:29.952Z,
"Apple iPhone","Brands & Companies",26.42,poor,[object Object],0,5,6.5,15,27,2025-07-31T15:31:29.953Z,
"Burger King","Brands & Companies",27.67,poor,[object Object],0,5,14,10,27,2025-07-31T15:31:29.953Z,
"Burger King Whopper","Brands & Companies",24.42,poor,[object Object],0,5,12.5,8,29,2025-07-31T15:31:29.953Z,
"Coca Cola","Brands & Companies",13.50,unacceptable,[object Object],0,5,9,0,27,2025-07-31T15:31:29.953Z,
"Disney Movies","Brands & Companies",34.42,poor,[object Object],0,5,6.5,23,27,2025-07-31T15:31:29.953Z,
"Disney Studios","Brands & Companies",34.42,poor,[object Object],0,5,6.5,23,26,2025-07-31T15:31:29.954Z,
"Disneyland Park","Brands & Companies",23.58,poor,[object Object],0,5,11.5,8,26,2025-07-31T15:31:29.954Z,
"Facebook App","Brands & Companies",19.42,unacceptable,[object Object],0,5,6.5,8,26,2025-07-31T15:31:29.954Z,
"Facebook Profile","Brands & Companies",18.38,unacceptable,[object Object],0,5,5.25,8,26,2025-07-31T15:31:29.954Z,
"Google Search","Brands & Companies",26.42,poor,[object Object],0,5,6.5,15,26,2025-07-31T15:31:29.954Z,
"Lego Blocks","Brands & Companies",12.46,unacceptable,[object Object],0,5,7.75,0,26,2025-07-31T15:31:29.954Z,
"McDonald's Fries","Brands & Companies",10.38,unacceptable,[object Object],0,5,5.25,0,26,2025-07-31T15:31:29.954Z,
"Microsoft Office","Brands & Companies",15.58,unacceptable,[object Object],0,5,11.5,0,25,2025-07-31T15:31:29.955Z,
"Microsoft Windows","Brands & Companies",10.38,unacceptable,[object Object],0,5,5.25,0,25,2025-07-31T15:31:29.955Z,
"Netflix Movie","Brands & Companies",39.63,poor,[object Object],0,5,12.75,23,25,2025-07-31T15:31:29.955Z,
"Netflix Show","Brands & Companies",35.46,poor,[object Object],0,5,7.75,23,25,2025-07-31T15:31:29.955Z,
"Netflix Shows","Brands & Companies",34.42,poor,[object Object],0,5,6.5,23,25,2025-07-31T15:31:29.955Z,
"Netflix Streaming","Brands & Companies",33.38,poor,[object Object],0,5,5.25,23,25,2025-07-31T15:31:29.955Z,
"Nike Shoes","Brands & Companies",12.46,unacceptable,[object Object],0,5,7.75,0,25,2025-07-31T15:31:29.955Z,
"Nike Sneakers","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,25,2025-07-31T15:31:29.955Z,
"Pepsi Cola","Brands & Companies",12.46,unacceptable,[object Object],0,5,7.75,0,26,2025-07-31T15:31:29.955Z,
"Pepsi Drink","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,25,2025-07-31T15:31:29.956Z,
"Samsung Electronics","Brands & Companies",10.38,unacceptable,[object Object],0,5,5.25,0,25,2025-07-31T15:31:29.956Z,
"Samsung Galaxy","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,25,2025-07-31T15:31:29.956Z,
"Samsung Phones","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,25,2025-07-31T15:31:29.956Z,
"Spotify Music","Brands & Companies",39.63,poor,[object Object],0,5,12.75,23,25,2025-07-31T15:31:29.956Z,
"Starbucks Coffee","Brands & Companies",58.67,acceptable,[object Object],0,20,14,23,21,2025-07-31T15:31:29.956Z,
"Tesla Car","Brands & Companies",51.71,acceptable,[object Object],0,20,15.25,15,21,2025-07-31T15:31:29.956Z,
"Tesla Cars","Brands & Companies",12.46,unacceptable,[object Object],0,5,7.75,0,25,2025-07-31T15:31:29.956Z,
"Tesla Motors","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,24,2025-07-31T15:31:29.957Z,
"Toyota Prius","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,24,2025-07-31T15:31:29.957Z,
"Uber Ride","Brands & Companies",13.50,unacceptable,[object Object],0,5,9,0,24,2025-07-31T15:31:29.957Z,
"Ballet Flats","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,24,2025-07-31T15:31:29.957Z,
"Baseball Cap","Clothing & Fashion",25.67,poor,[object Object],0,5,14,8,24,2025-07-31T15:31:29.957Z,
"Cargo Pants","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,23,2025-07-31T15:31:29.958Z,
"Catwalk Model","Clothing & Fashion",5.42,unacceptable,[object Object],0,0,6.5,0,23,2025-07-31T15:31:29.958Z,
"Corduroy Pants","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,23,2025-07-31T15:31:29.958Z,
"Cotton T-shirt","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,22,2025-07-31T15:31:29.959Z,
"Denim Jacket","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,22,2025-07-31T15:31:29.959Z,
"Denim Jeans","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,22,2025-07-31T15:31:29.959Z,
"Denim Overalls","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,22,2025-07-31T15:31:29.959Z,
"Designer Handbag","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,22,2025-07-31T15:31:29.959Z,
"Evening Gown","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,22,2025-07-31T15:31:29.959Z,
"Fashion Magazine","Clothing & Fashion",20.38,poor,[object Object],0,5,5.25,10,22,2025-07-31T15:31:29.959Z,
"Fashion Runway","Clothing & Fashion",21.42,poor,[object Object],0,5,6.5,10,22,2025-07-31T15:31:29.959Z,
"Fedora Hat","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,21,2025-07-31T15:31:29.960Z,
"High Heel Shoes","Clothing & Fashion",19.19,unacceptable,[object Object],0,5,15.83,0,14,2025-07-31T15:31:29.982Z,
"High Heels","Clothing & Fashion",20.79,poor,[object Object],0,5,17.75,0,12,2025-07-31T15:31:29.982Z,
"Leather Belt","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,11,2025-07-31T15:31:29.983Z,
"Leather Boots","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,11,2025-07-31T15:31:29.983Z,
"Leather Jacket","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,11,2025-07-31T15:31:29.983Z,
"Little Black Dress","Clothing & Fashion",12.25,unacceptable,[object Object],0,5,7.5,0,13,2025-07-31T15:31:29.983Z,
"Patterned Socks","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,11,2025-07-31T15:31:29.983Z,
"Plaid Shirt","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,10,2025-07-31T15:31:29.984Z,
"Running Shoes","Clothing & Fashion",24.63,poor,[object Object],0,5,12.75,8,10,2025-07-31T15:31:29.984Z,
"Runway Model","Clothing & Fashion",5.42,unacceptable,[object Object],0,0,6.5,0,10,2025-07-31T15:31:29.984Z,
"Shopping Spree","Clothing & Fashion",20.38,poor,[object Object],0,5,5.25,10,10,2025-07-31T15:31:29.984Z,
"Silk Scarf","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,10,2025-07-31T15:31:29.984Z,
"Skinny Jeans","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,10,2025-07-31T15:31:29.984Z,
"Sneaker Collection","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,10,2025-07-31T15:31:29.984Z,
"Sweater Vest","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,10,2025-07-31T15:31:29.984Z,
"Trench Coat","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,10,2025-07-31T15:31:29.984Z,
"Trendy Sunglasses","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,9,2025-07-31T15:31:29.985Z,
"Turtleneck Sweater","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,9,2025-07-31T15:31:29.985Z,
"Vintage Clothing","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,9,2025-07-31T15:31:29.985Z,
"Vintage Hat","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,9,2025-07-31T15:31:29.985Z,
"Wedding Dress","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,6,2025-07-31T15:31:29.985Z,
"Winter Coat","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,9,2025-07-31T15:31:29.985Z,
"Wool Sweater","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,9,2025-07-31T15:31:29.985Z,
"Angry Face","Emotions & Feelings",35.67,poor,[object Object],0,20,14,0,6,2025-07-31T15:31:29.985Z,
"Angry Outburst","Emotions & Feelings",15.58,unacceptable,[object Object],0,5,11.5,0,9,2025-07-31T15:31:29.985Z,
"Angry Stomp","Emotions & Feelings",16.63,unacceptable,[object Object],0,5,12.75,0,9,2025-07-31T15:31:29.985Z,
"Blushing Cheeks","Emotions & Feelings",10.38,unacceptable,[object Object],0,5,5.25,0,9,2025-07-31T15:31:29.985Z,
"Blushing Face","Emotions & Feelings",29.42,poor,[object Object],0,20,6.5,0,6,2025-07-31T15:31:29.985Z,
"Bored Yawn","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,9,2025-07-31T15:31:29.985Z,
"Bubbling Excitement","Emotions & Feelings",9.33,unacceptable,[object Object],0,5,4,0,9,2025-07-31T15:31:29.985Z,
"Burst of Laughter","Emotions & Feelings",17.81,unacceptable,[object Object],0,5,14.17,0,10,2025-07-31T15:31:29.986Z,
"Bursting with Pride","Emotions & Feelings",17.81,unacceptable,[object Object],0,5,14.17,0,10,2025-07-31T15:31:29.986Z,
"Calm and Collected","Emotions & Feelings",18.50,unacceptable,[object Object],0,5,15,0,10,2025-07-31T15:31:29.986Z,
"Confused Look","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,8,2025-07-31T15:31:29.986Z,
"Content Smile","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,8,2025-07-31T15:31:29.986Z,
"Crying Baby","Emotions & Feelings",18.71,unacceptable,[object Object],0,5,15.25,0,8,2025-07-31T15:31:29.986Z,
"Crying Tears","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,8,2025-07-31T15:31:29.986Z,
"Crying with Laughter","Emotions & Feelings",17.81,unacceptable,[object Object],0,5,14.17,0,10,2025-07-31T15:31:29.986Z,
"Deeply Moved","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,8,2025-07-31T15:31:29.986Z,
"Excited Cheer","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,7,2025-07-31T15:31:29.987Z,
"Excited Jump","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,7,2025-07-31T15:31:29.987Z,
"Fearful Scream","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,7,2025-07-31T15:31:29.987Z,
"Fearful Shiver","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,6,2025-07-31T15:31:29.988Z,
"Feeling Anxious","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,6,2025-07-31T15:31:29.988Z,
"Feeling Blue","Emotions & Feelings",6.46,unacceptable,[object Object],0,0,7.75,0,6,2025-07-31T15:31:29.988Z,
"Feeling Loved","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,6,2025-07-31T15:31:29.988Z,
"Feeling Peaceful","Emotions & Feelings",7.98,unacceptable,[object Object],0,3,5.25,0,6,2025-07-31T15:31:29.988Z,
"Feeling Proud","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,6,2025-07-31T15:31:29.988Z,
"Feeling Sad","Emotions & Feelings",10.63,unacceptable,[object Object],0,0,12.75,0,6,2025-07-31T15:31:29.988Z,
"Frustrated Grunt","Emotions & Feelings",10.38,unacceptable,[object Object],0,5,5.25,0,6,2025-07-31T15:31:29.988Z,
"Green with Envy","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,49,2025-07-31T15:31:29.996Z,
"Grinning Ear-to-Ear","Emotions & Feelings",9.33,unacceptable,[object Object],0,5,4,0,50,2025-07-31T15:31:29.996Z,
"Guilty Face","Emotions & Feelings",30.46,poor,[object Object],0,20,7.75,0,45,2025-07-31T15:31:30.033Z,
"Happy Dance","Emotions & Feelings",16.63,unacceptable,[object Object],0,5,12.75,0,11,2025-07-31T15:31:30.033Z,
"Head Over Heels","Emotions & Feelings",13.64,unacceptable,[object Object],0,5,9.17,0,12,2025-07-31T15:31:30.033Z,
"Heart Break","Emotions & Feelings",29.42,poor,[object Object],0,20,6.5,0,7,2025-07-31T15:31:30.034Z,
"Heartfelt Hug","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,10,2025-07-31T15:31:30.034Z,
"Hopeful Wish","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,10,2025-07-31T15:31:30.034Z,
"Jealous Glare","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,9,2025-07-31T15:31:30.035Z,
"Jumping For Joy","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,10,2025-07-31T15:31:30.035Z,
"Jumping for Joy","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,10,2025-07-31T15:31:30.035Z,
"Laughing Out Loud","Emotions & Feelings",12.94,unacceptable,[object Object],0,5,8.33,0,10,2025-07-31T15:31:30.035Z,
"Love Struck","Emotions & Feelings",18.71,unacceptable,[object Object],0,5,15.25,0,6,2025-07-31T15:31:30.035Z,
"Madly in Love","Emotions & Feelings",23.36,poor,[object Object],0,5,20.83,0,10,2025-07-31T15:31:30.035Z,
"Nervous Sweat","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,9,2025-07-31T15:31:30.035Z,
"Nervous Sweats","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,9,2025-07-31T15:31:30.035Z,
"Nervous Twitch","Emotions & Feelings",19.42,unacceptable,[object Object],0,5,6.5,8,9,2025-07-31T15:31:30.035Z,
"Nervous Wreck","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,9,2025-07-31T15:31:30.035Z,
"On Cloud Nine","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,10,2025-07-31T15:31:30.035Z,
"Over the Moon","Emotions & Feelings",37.89,poor,[object Object],0,20,16.67,0,9,2025-07-31T15:31:30.036Z,
"Panic Attack","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,8,2025-07-31T15:31:30.036Z,
"Proud Moment","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,8,2025-07-31T15:31:30.036Z,
"Proud Pose","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,8,2025-07-31T15:31:30.036Z,
"Radiating Happiness","Emotions & Feelings",9.33,unacceptable,[object Object],0,5,4,0,5,2025-07-31T15:31:30.036Z,
"Red with Rage","Emotions & Feelings",19.89,unacceptable,[object Object],0,5,16.67,0,9,2025-07-31T15:31:30.036Z,
"Scared Scream","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,8,2025-07-31T15:31:30.036Z,
"Shaking with Fear","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,9,2025-07-31T15:31:30.036Z,
"Shocked Expression","Emotions & Feelings",10.38,unacceptable,[object Object],0,5,5.25,0,8,2025-07-31T15:31:30.036Z,
"Shy Smile","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,8,2025-07-31T15:31:30.036Z,
